Date,Index,Open,High,Low,Close
1996-01-01,NIFTY FMCG,,,,1000.0
1996-01-01,NIFTY IT,,,,1000.0
1996-01-02,NIFTY FMCG,,,,997.82
1996-01-02,NIFTY IT,,,,995.84
1996-01-03,NIFTY FMCG,,,,991.42
1996-01-03,NIFTY IT,,,,986.97
1996-01-04,NIFTY FMCG,,,,991.48
1996-01-04,NIFTY IT,,,,980.39
1996-01-05,NIFTY FMCG,,,,986.17
1996-01-05,NIFTY IT,,,,984.08
1996-01-08,NIFTY FMCG,,,,975.7
1996-01-08,NIFTY IT,,,,972.78
1996-01-09,NIFTY FMCG,,,,972.73
1996-01-09,NIFTY IT,,,,949.17
1996-01-10,NIFTY FMCG,,,,974.81
1996-01-10,NIFTY IT,,,,952.29
1996-01-11,NIFTY FMCG,,,,977.78
1996-01-11,NIFTY IT,,,,949.48
1996-01-12,NIFTY FMCG,,,,983.22
1996-01-12,NIFTY IT,,,,959.11
1996-01-15,NIFTY FMCG,,,,979.09
1996-01-15,NIFTY IT,,,,957.44
1996-01-16,NIFTY FMCG,,,,977.14
1996-01-16,NIFTY IT,,,,944.73
1996-01-17,NIFTY FMCG,,,,978.49
1996-01-17,NIFTY IT,,,,935.05
1996-01-18,NIFTY FMCG,,,,970.9
1996-01-18,NIFTY IT,,,,922.37
1996-01-19,NIFTY FMCG,,,,964.2
1996-01-19,NIFTY IT,,,,902.49
1996-01-22,NIFTY FMCG,,,,958.81
1996-01-22,NIFTY IT,,,,893.81
1996-01-23,NIFTY FMCG,,,,940.0
1996-01-23,NIFTY IT,,,,892.74
1996-01-24,NIFTY FMCG,,,,928.35
1996-01-24,NIFTY IT,,,,884.79
1996-01-25,NIFTY FMCG,,,,920.82
1996-01-25,NIFTY IT,,,,891.42
1996-01-29,NIFTY FMCG,,,,936.36
1996-01-29,NIFTY IT,,,,894.85
1996-01-30,NIFTY FMCG,,,,953.68
1996-01-30,NIFTY IT,,,,917.39
1996-01-31,NIFTY FMCG,,,,950.51
1996-01-31,NIFTY IT,,,,922.44
1996-02-01,NIFTY FMCG,,,,968.4
1996-02-01,NIFTY IT,,,,939.36
1996-02-02,NIFTY FMCG,,,,1012.0
1996-02-02,NIFTY IT,,,,961.86
1996-02-05,NIFTY FMCG,,,,1040.4
1996-02-05,NIFTY IT,,,,999.62
1996-02-06,NIFTY FMCG,,,,1025.7
1996-02-06,NIFTY IT,,,,994.22
1996-02-07,NIFTY FMCG,,,,1023.6
1996-02-07,NIFTY IT,,,,975.94
1996-02-08,NIFTY FMCG,,,,1062.1
1996-02-08,NIFTY IT,,,,992.35
1996-02-09,NIFTY FMCG,,,,1085.5
1996-02-09,NIFTY IT,,,,1033.2
1996-02-12,NIFTY FMCG,,,,1098.6
1996-02-12,NIFTY IT,,,,1073.5
1996-02-13,NIFTY FMCG,,,,1114.4
1996-02-13,NIFTY IT,,,,1080.1
1996-02-14,NIFTY FMCG,,,,1138.9
1996-02-14,NIFTY IT,,,,1099.4
1996-02-15,NIFTY FMCG,,,,1146.7
1996-02-15,NIFTY IT,,,,1113.2
1996-02-16,NIFTY FMCG,,,,1123.2
1996-02-16,NIFTY IT,,,,1107.5
1996-02-19,NIFTY FMCG,,,,1119.0
1996-02-19,NIFTY IT,,,,1125.2
1996-02-20,NIFTY FMCG,,,,1093.0
1996-02-20,NIFTY IT,,,,1121.4
1996-02-22,NIFTY FMCG,,,,1114.7
