Index,Year,Start_Price,End_Price,Annual_Return
NIFTY 50,2000,1592.2,1263.5,-20.64
NIFTY 50,2001,1254.3,1059.0,-15.57
NIFTY 50,2002,1055.3,1093.5,3.62
NIFTY 50,2003,1100.1,1879.7,70.87
NIFTY 50,2004,1912.2,2080.5,8.8
NIFTY 50,2005,2115.0,2836.5,34.11
NIFTY 50,2006,2835.9,3966.4,39.86
NIFTY 50,2007,4007.4,6138.6,53.18
NIFTY 50,2008,6144.3,2959.1,-51.84
NIFTY 50,2009,3033.4,5201.0,71.46
NIFTY 50,2010,5232.2,6134.5,17.25
NIFTY 50,2011,6157.6,4624.3,-24.9
NIFTY 50,2012,4636.7,5905.1,27.36
NIFTY 50,2013,5950.8,6304.0,5.94
NIFTY 50,2014,6301.6,8282.7,31.44
NIFTY 50,2015,8284.0,7946.3,-4.08
NIFTY 50,2016,7963.2,8185.8,2.8
NIFTY 50,2017,8179.5,10530.0,28.74
NIFTY 50,2018,10435.55,10862.55,4.09
NIFTY 50,2019,10910.1,12168.45,11.53
NIFTY 50,2020,12182.5,13981.75,14.77
NIFTY 50,2021,14018.5,17354.05,23.79
NIFTY 50,2022,17625.7,17833.35,1.18
NIFTY Auto,2004,1000.0,1157.6,15.76
NIFTY Auto,2005,1185.1,1746.2,47.35
NIFTY Auto,2006,1735.8,2239.6,29.02
NIFTY Auto,2007,2307.2,2351.1,1.9
NIFTY Auto,2008,2370.4,1060.0,-55.28
NIFTY Auto,2009,1090.2,3118.7,186.07
NIFTY Auto,2010,3176.3,4206.0,32.42
NIFTY Auto,2011,4213.4,3390.5,-19.53
NIFTY Auto,2012,3356.1,4830.5,43.93
NIFTY Auto,2013,4869.5,5285.0,8.53
NIFTY Auto,2014,5292.6,8281.2,56.47
NIFTY Auto,2015,8318.8,8254.7,-0.77
NIFTY Auto,2016,8328.3,9141.7,9.77
NIFTY Auto,2017,9326.9,12009.0,28.76
NIFTY Auto,2018,11890.5,9235.55,-22.33
NIFTY Auto,2019,9182.45,8248.3,-10.17
NIFTY Auto,2020,8210.1,9193.5,11.98
NIFTY Auto,2021,9272.5,10936.9,17.95
NIFTY Auto,2022,11114.55,12923.75,16.28
NIFTY Bank,2000,1054.8,971.73,-7.88
NIFTY Bank,2001,977.94,868.61,-11.18
NIFTY Bank,2002,870.25,1226.5,40.94
NIFTY Bank,2003,1221.3,2588.7,111.96
NIFTY Bank,2004,2665.1,3497.3,31.23
NIFTY Bank,2005,3531.5,4534.2,28.39
NIFTY Bank,2006,4556.2,6008.7,31.88
NIFTY Bank,2007,6039.5,9863.4,63.31
NIFTY Bank,2008,9905.2,5001.5,-49.51
NIFTY Bank,2009,5116.5,9029.5,76.48
NIFTY Bank,2010,9112.3,11791.0,29.4
NIFTY Bank,2011,11855.0,7968.6,-32.78
NIFTY Bank,2012,7995.0,12474.0,56.02
NIFTY Bank,2013,12654.0,11385.0,-10.03
NIFTY Bank,2014,11385.0,18736.0,64.57
NIFTY Bank,2015,18750.0,16922.0,-9.75
NIFTY Bank,2016,17039.0,18177.0,6.68
NIFTY Bank,2017,17969.0,25539.0,42.13
NIFTY Bank,2018,25318.1,27160.2,7.28
NIFTY Bank,2019,27392.4,32161.65,17.41
NIFTY Bank,2020,32102.9,31264.05,-2.61
NIFTY Bank,2021,31225.85,35481.7,13.63
NIFTY Bank,2022,36421.9,40415.7,10.97
NIFTY Energy,2001,1000.0,1019.0,1.9
NIFTY Energy,2002,1022.8,1596.3,56.07
NIFTY Energy,2003,1607.5,3642.3,126.58
NIFTY Energy,2004,3720.6,3664.8,-1.5
NIFTY Energy,2005,3738.1,4791.0,28.17
NIFTY Energy,2006,4813.9,5755.4,19.56
NIFTY Energy,2007,5794.1,11322.0,95.41
NIFTY Energy,2008,11371.0,5870.8,-48.37
NIFTY Energy,2009,5976.4,9450.7,58.13
NIFTY Energy,2010,9440.9,9775.6,3.55
NIFTY Energy,2011,9777.9,6968.1,-28.74
NIFTY Energy,2012,7037.0,7927.4,12.65
NIFTY Energy,2013,7932.4,7961.2,0.36
NIFTY Energy,2014,7931.7,8640.9,8.94
NIFTY Energy,2015,8630.9,8584.1,-0.54
NIFTY Energy,2016,8594.7,10271.55,19.51
NIFTY Energy,2017,10307.65,14249.3,38.24
NIFTY Energy,2018,14138.95,14334.85,1.39
NIFTY Energy,2019,14348.0,15908.2,10.87
NIFTY Energy,2020,15987.8,16922.5,5.85
NIFTY Energy,2021,16976.2,22631.95,33.32
NIFTY Energy,2022,22849.25,27163.95,18.88
NIFTY FMCG,1996,1000.0,1189.0,18.9
NIFTY FMCG,1997,1230.4,1945.5,58.12
NIFTY FMCG,1998,1952.1,2384.9,22.17
NIFTY FMCG,1999,2393.7,2837.1,18.52
NIFTY FMCG,2000,3042.5,2787.4,-8.38
NIFTY FMCG,2001,2746.5,2500.6,-8.95
NIFTY FMCG,2002,2502.6,2185.1,-12.69
NIFTY FMCG,2003,2186.5,2863.3,30.95
NIFTY FMCG,2004,2943.4,2786.3,-5.34
NIFTY FMCG,2005,2805.1,4421.4,57.62
NIFTY FMCG,2006,4392.2,5176.7,17.86
NIFTY FMCG,2007,5196.5,6329.6,21.81
NIFTY FMCG,2008,6477.5,5090.1,-21.42
NIFTY FMCG,2009,5111.5,7207.3,41.0
NIFTY FMCG,2010,7293.5,9409.7,29.01
NIFTY FMCG,2011,9424.5,10217.0,8.41
NIFTY FMCG,2012,10103.0,15175.0,50.2
NIFTY FMCG,2013,15259.0,17024.0,11.57
NIFTY FMCG,2014,17050.0,20126.0,18.04
NIFTY FMCG,2015,20057.0,20192.0,0.67
NIFTY FMCG,2016,20184.0,20754.0,2.82
NIFTY FMCG,2017,20710.0,26851.0,29.65
NIFTY FMCG,2018,26686.35,30516.65,14.35
NIFTY FMCG,2019,30398.45,30121.5,-0.91
NIFTY FMCG,2020,30234.25,34177.1,13.04
NIFTY FMCG,2021,34391.85,37579.95,9.27
NIFTY FMCG,2022,37606.05,42457.3,12.9
NIFTY IT,1996,1000.0,835.01,-16.5
NIFTY IT,1997,878.79,2399.7,173.07
NIFTY IT,1998,2410.4,7051.8,192.56
NIFTY IT,1999,7044.3,41742.0,492.56
NIFTY IT,2000,45015.0,29383.0,-34.73
NIFTY IT,2001,28783.0,18282.0,-36.48
NIFTY IT,2002,18072.0,19073.0,5.54
NIFTY IT,2003,19274.0,23542.0,22.14
NIFTY IT,2004,23911.0,2936.9,-87.72
NIFTY IT,2005,2969.4,3906.9,31.57
NIFTY IT,2006,3884.2,5432.2,39.85
NIFTY IT,2007,5519.9,4812.6,-12.81
NIFTY IT,2008,4748.2,2187.0,-53.94
NIFTY IT,2009,2280.1,5818.4,155.18
NIFTY IT,2010,5877.2,7491.1,27.46
NIFTY IT,2011,7492.4,6139.0,-18.06
NIFTY IT,2012,6217.7,6024.9,-3.1
NIFTY IT,2013,6033.3,9517.8,57.75
NIFTY IT,2014,9462.8,11216.0,18.53
NIFTY IT,2015,11215.0,11212.0,-0.03
NIFTY IT,2016,11174.0,10399.0,-6.94
NIFTY IT,2017,10367.0,11665.0,12.52
NIFTY IT,2018,11565.75,14440.3,24.85
NIFTY IT,2019,14450.9,15652.4,8.31
NIFTY IT,2020,15722.15,24251.35,54.25
NIFTY IT,2021,24456.1,38701.0,58.25
NIFTY IT,2022,39123.8,29885.9,-23.61
NIFTY Metal,2011,3795.9,2464.6,-35.07
NIFTY Metal,2012,2495.1,2900.2,16.24
NIFTY Metal,2013,2959.3,2486.6,-15.97
NIFTY Metal,2014,2493.8,2661.0,6.7
NIFTY Metal,2015,2693.2,1826.8,-32.17
NIFTY Metal,2016,1830.3,2652.5,44.92
NIFTY Metal,2017,2705.2,3940.1,45.65
NIFTY Metal,2018,3919.2,3154.6,-19.51
NIFTY Metal,2019,3135.25,2801.3,-10.65
NIFTY Metal,2020,2796.05,3254.65,16.4
NIFTY Metal,2021,3258.85,5521.75,69.44
NIFTY Metal,2022,5628.1,5853.45,4.0
NIFTY Midcap 100,2001,1147.7,807.0,-29.69
NIFTY Midcap 100,2002,799.13,1002.4,25.44
NIFTY Midcap 100,2003,1000.0,2388.4,138.84
NIFTY Midcap 100,2004,2434.4,2984.6,22.6
NIFTY Midcap 100,2005,3046.5,4030.4,32.3
NIFTY Midcap 100,2006,4056.7,5199.7,28.18
NIFTY Midcap 100,2007,5175.2,9199.8,77.77
NIFTY Midcap 100,2008,9393.7,3735.6,-60.23
NIFTY Midcap 100,2009,3814.5,7432.8,94.86
NIFTY Midcap 100,2010,7528.5,8857.2,17.65
NIFTY Midcap 100,2011,8919.0,6111.8,-31.47
NIFTY Midcap 100,2012,6095.5,8505.1,39.53
NIFTY Midcap 100,2013,8602.5,8071.3,-6.17
NIFTY Midcap 100,2014,8114.0,12583.0,55.08
NIFTY Midcap 100,2015,12618.0,13396.0,6.17
NIFTY Midcap 100,2016,13540.0,14351.0,5.99
NIFTY Midcap 100,2017,14483.0,21133.0,45.92
NIFTY Midcap 100,2018,21109.8,17875.5,-15.32
NIFTY Midcap 100,2019,17893.5,17102.5,-4.42
NIFTY Midcap 100,2020,17143.25,20842.5,21.58
NIFTY Midcap 100,2021,21090.95,30442.9,44.34
NIFTY Midcap 100,2022,30788.0,30806.35,0.06
NIFTY Next 50,1996,1000.0,1035.0,3.5
NIFTY Next 50,1997,1077.8,1189.0,10.32
NIFTY Next 50,1998,1207.4,1519.0,25.81
NIFTY Next 50,1999,1530.1,3983.8,160.36
NIFTY Next 50,2000,4288.6,2426.05,-43.43
NIFTY Next 50,2001,2419.2,1298.3,-46.33
NIFTY Next 50,2002,1288.6,1413.0,9.65
NIFTY Next 50,2003,1416.3,3405.7,140.46
NIFTY Next 50,2004,3479.2,4453.3,28.0
NIFTY Next 50,2005,4508.7,5541.45,22.91
NIFTY Next 50,2006,5553.25,7106.35,27.97
NIFTY Next 50,2007,7168.65,12488.0,74.2
NIFTY Next 50,2008,12638.0,4555.7,-63.95
NIFTY Next 50,2009,4670.1,10382.0,122.31
NIFTY Next 50,2010,10508.0,12232.0,16.41
NIFTY Next 50,2011,12261.0,8333.1,-32.04
NIFTY Next 50,2012,8312.1,12340.05,48.46
NIFTY Next 50,2013,12491.25,12933.0,3.54
NIFTY Next 50,2014,12987.0,18677.0,43.81
NIFTY Next 50,2015,18734.0,19977.0,6.63
NIFTY Next 50,2016,20169.0,21389.0,6.05
NIFTY Next 50,2017,21580.0,30964.65,43.49
NIFTY Next 50,2018,30899.6,28178.8,-8.81
NIFTY Next 50,2019,28111.65,28307.55,0.7
NIFTY Next 50,2020,28293.35,32508.55,14.9
NIFTY Next 50,2021,32765.95,42217.9,28.85
NIFTY Next 50,2022,42549.7,42211.4,-0.8
NIFTY Pharma,2001,1000.0,973.72,-2.63
NIFTY Pharma,2002,979.19,1023.11,4.49
NIFTY Pharma,2003,1034.13,1875.2,81.33
NIFTY Pharma,2004,1892.8,2196.6,16.05
NIFTY Pharma,2005,2204.6,2216.5,0.54
NIFTY Pharma,2006,2204.8,2769.83,25.63
NIFTY Pharma,2007,2781.67,3173.55,14.09
NIFTY Pharma,2008,3167.02,2361.76,-25.43
NIFTY Pharma,2009,2373.36,3758.0,58.34
NIFTY Pharma,2010,3754.2,5085.3,35.46
NIFTY Pharma,2011,5108.2,4576.2,-10.41
NIFTY Pharma,2012,4567.6,6035.0,32.13
NIFTY Pharma,2013,6056.6,7634.9,26.06
NIFTY Pharma,2014,7667.3,10949.8,42.81
NIFTY Pharma,2015,10923.25,11963.5,9.52
NIFTY Pharma,2016,11979.85,10267.0,-14.3
NIFTY Pharma,2017,10310.0,9620.1,-6.69
NIFTY Pharma,2018,9618.15,8868.7,-7.79
NIFTY Pharma,2019,8881.95,8040.15,-9.48
NIFTY Pharma,2020,8047.1,12915.9,60.5
NIFTY Pharma,2021,13001.95,14223.0,9.39
NIFTY Pharma,2022,14156.4,12864.0,-9.13
