Index,NIFTY 50,NIFTY Auto,NIFTY Bank,NIFTY Energy,NIFTY FMCG,NIFTY IT,NIFTY Metal,NIFTY Midcap 100,NIFTY Next 50,NIFTY Pharma
NIFTY 50,1.0,0.813170231522383,0.8358350277205496,0.8373755104770275,0.6895795895163913,0.6090742010862568,0.7232867820933551,0.8511655688498581,0.8505931863505111,0.621671096861065
NIFTY Auto,0.813170231522383,1.0,0.7139819080172176,0.6828860143896043,0.5896395437121696,0.43110284637341517,0.6452961485781789,0.8014301700851443,0.7814079454951967,0.5534137939351568
NIFTY Bank,0.8358350277205496,0.7139819080172176,1.0,0.6871265734690117,0.5101735566303494,0.40421577288482397,0.6225720758308187,0.774166040130904,0.7825851760350903,0.4834998661433981
NIFTY Energy,0.8373755104770275,0.6828860143896043,0.6871265734690117,1.0,0.5395377314224026,0.4152613899135929,0.6536074757104074,0.7537630559558942,0.7594674140546056,0.5238277450977024
NIFTY FMCG,0.6895795895163913,0.5896395437121696,0.5101735566303494,0.5395377314224026,1.0,0.3814455719397663,0.4156989057146944,0.6114290758595571,0.6125166731160953,0.5128059700090783
NIFTY IT,0.6090742010862568,0.43110284637341517,0.40421577288482397,0.4152613899135929,0.3814455719397663,1.0,0.34217843831642525,0.4798735059357536,0.5526771009435684,0.3729458812769287
NIFTY Metal,0.7232867820933551,0.6452961485781789,0.6225720758308187,0.6536074757104074,0.4156989057146944,0.34217843831642525,1.0,0.7562223592442244,0.752307019277992,0.428657115900013
NIFTY Midcap 100,0.8511655688498581,0.8014301700851443,0.774166040130904,0.7537630559558942,0.6114290758595571,0.4798735059357536,0.7562223592442244,1.0,0.9403622909725388,0.6332375768315072
NIFTY Next 50,0.8505931863505111,0.7814079454951967,0.7825851760350903,0.7594674140546056,0.6125166731160953,0.5526771009435684,0.752307019277992,0.9403622909725388,1.0,0.6306904296462258
NIFTY Pharma,0.621671096861065,0.5534137939351568,0.4834998661433981,0.5238277450977024,0.5128059700090783,0.3729458812769287,0.428657115900013,0.6332375768315072,0.6306904296462258,1.0
