Index,Mean_Daily_Return,Average_Annual_Return,Daily_Volatility,Annualized_Volatility,Maximum_Drawdown_%
NIFTY 50,0.05,14.51,1.43,22.69,-59.86
NIFTY Auto,0.07,20.95,1.53,24.25,-62.38
NIFTY Bank,0.08,22.11,1.86,29.59,-68.78
NIFTY Energy,0.07,20.92,1.6,25.45,-60.47
NIFTY FMCG,0.07,15.9,1.4,22.22,-48.82
NIFTY IT,0.11,40.02,2.16,34.29,-65.66
NIFTY Metal,0.03,7.5,1.82,28.89,-64.33
NIFTY Midcap 100,0.07,23.14,1.42,22.55,-69.58
NIFTY Next 50,0.07,23.81,1.66,26.38,-79.42
NIFTY Pharma,0.06,15.02,1.29,20.45,-53.49
